,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
10,9,6,9,6,5,5,5,6
11,9,6,9,6,5,5,5,6
12,9,6,9,6,5,5,5,6
13,9,6,9,6,5,5,5,6
14,9,6,9,6,5,5,6,7
15,9,6,9,6,5,5,6,7
16,9,6,9,6,6,6,6,7
17,9,6,9,6,6,6,6,7
18,9,6,10,6,6,6,7,7
19,9,6,10,6,6,6,7,8
20,9,6,10,6,6,6,7,8
21,9,6,10,6,6,6,7,8
22,9,6,10,6,6,6,8,9
23,9,6,10,6,6,6,8,9
24,9,6,10,7,7,6,8,9
25,9,6,10,7,7,6,8,10
26,9,6,10,7,7,6,9,10
27,9,6,10,7,7,6,9,10
28,9,6,11,7,7,6,9,10
29,9,6,11,7,7,6,9,10
30,9,6,11,7,7,7,9,10
31,9,6,11,7,7,7,9,10
32,9,6,11,7,7,7,9,10
