,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
2,1,1,1,1,1,1,1,1
3,1,1,2,2,2,2,2,2
4,1,1,2,2,2,2,2,2
5,1,1,3,3,3,3,3,3
6,1,1,3,4,3,3,3,3
7,1,1,4,4,3,3,4,3
8,1,1,4,4,3,3,4,3
9,1,1,4,4,4,4,4,3
10,1,1,5,5,4,4,4,4
11,1,1,6,5,4,4,4,4
12,1,1,6,5,4,4,4,5
13,1,1,6,5,4,4,5,5
14,1,1,7,5,4,5,5,6
15,1,1,7,5,4,5,6,6
16,1,1,7,5,5,5,6,7
17,1,1,7,5,5,5,7,8
18,1,1,7,5,5,5,7,8
19,1,1,8,5,5,5,7,9
20,1,1,9,5,5,5,7,10
21,1,1,9,5,5,5,7,10
22,1,1,9,5,5,5,7,10
23,1,1,10,5,5,5,7,10
24,1,1,11,5,6,5,7,10
25,1,1,12,5,6,6,7,10
26,1,1,13,5,6,6,7,10
27,1,1,13,5,6,6,7,10
28,1,1,13,5,6,6,7,10
29,1,1,14,5,6,6,7,10
30,1,1,15,5,6,6,7,10
31,1,1,16,5,6,6,7,10
32,1,1,17,5,6,6,7,10
