,max-rule-length,weighted-avg-length,max-rule-length,weighted-avg-length,gain,cost
,KMeans,KMeans,DSCluster,DSCluster,DSCluster,DSCluster
,0,0,0,0,0,0
1.0000000001,,,8,6.43859649122807,191,30
1.0909090910181818,,,8,6.43859649122807,191,30
1.1818181819363636,,,8,6.43859649122807,191,30
1.2727272728545453,,,8,6.43859649122807,191,30
1.3636363637727273,,,8,6.43859649122807,191,30
1.4545454546909091,,,8,6.43859649122807,191,30
1.545454545609091,,,8,6.43859649122807,191,30
1.636363636527273,,,8,6.43859649122807,191,30
1.7272727274454547,,,8,6.739130434782608,163,17
1.8181818183636365,,,8,6.739130434782608,163,17
1.9090909092818182,,,8,6.739130434782608,163,17
2.0000000002,,,8,6.3125,168,16
2.090909091118182,,,8,6.3125,168,16
2.1818181820363636,,,8,6.3125,168,16
2.272727272954546,,,8,6.3125,168,16
2.363636363872727,,,8,6.3125,168,16
2.4545454547909094,,,10,6.9375,146,7
2.5454545457090907,,,10,6.9375,146,7
2.636363636627273,,,10,6.9375,146,7
2.7272727275454547,,,10,6.9375,146,7
2.8181818184636365,,,10,6.9375,146,7
2.9090909093818182,,,10,6.9375,146,7
3.0000000003,,,10,6.9375,146,7
3.090909091218182,,,10,6.9375,146,7
3.1818181821363636,,,10,6.9375,146,7
3.2727272730545454,,,10,6.9375,146,7
3.363636363972727,,,10,6.9375,146,7
3.4545454548909094,,,10,6.9375,146,7
3.545454545809091,,,10,6.9375,146,7
3.636363636727273,,,10,6.9375,146,7
3.7272727276454547,,,10,6.9375,146,7
3.8181818185636365,,,10,6.9375,146,7
3.9090909094818183,,,10,6.9375,146,7
4.0000000004,,,10,6.9375,146,7
4.090909091318181,,,10,6.9375,146,7
4.181818182236364,,,10,6.9375,146,7
4.272727273154546,,,10,6.9375,146,7
4.363636364072727,,,10,6.9375,146,7
4.454545454990909,,,10,6.9375,146,7
4.545454545909092,,,10,6.9375,146,7
4.636363636827273,,,10,6.9375,146,7
4.727272727745454,,,10,6.9375,146,7
4.8181818186636365,,,10,6.9375,146,7
4.909090909581819,,,10,6.9375,146,7
5.0000000005,,,10,6.9375,146,7
5.090909091418182,,,10,6.9375,146,7
5.181818182336364,,,10,6.9375,146,7
5.272727273254546,,,10,6.9375,146,7
5.363636364172727,,,10,6.9375,146,7
5.454545455090909,,,10,6.9375,146,7
5.545454546009091,,,10,6.9375,146,7
5.636363636927273,,,10,6.9375,146,7
5.727272727845454,,,10,6.9375,146,7
5.8181818187636365,,,10,6.9375,146,7
5.909090909681819,,,10,6.9375,146,7
6.0000000006,,,10,6.9375,146,7
6.090909091518182,,,10,6.9375,146,7
6.181818182436364,,,10,6.9375,146,7
6.272727273354546,,,10,6.9375,146,7
6.363636364272727,,,10,6.9375,146,7
6.454545455190909,,,10,6.9375,146,7
6.545454546109091,,,10,6.9375,146,7
6.636363637027273,,,10,6.9375,146,7
6.727272727945454,,,10,6.9375,146,7
6.8181818188636365,,,10,6.9375,146,7
6.909090909781819,,,10,6.9375,146,7
7.0000000007,,,10,6.7407407407407405,115,3
7.090909091618182,,,10,6.7407407407407405,115,3
7.181818182536364,,,10,6.7407407407407405,115,3
7.272727273454546,,,10,6.7407407407407405,115,3
7.363636364372727,,,10,6.7407407407407405,115,3
7.454545455290909,,,10,6.7407407407407405,115,3
7.545454546209091,,,10,6.7407407407407405,115,3
7.636363637127273,,,10,6.7407407407407405,115,3
7.727272728045454,,,10,6.7407407407407405,115,3
7.8181818189636365,,,10,6.7407407407407405,115,3
7.909090909881819,,,10,6.7407407407407405,115,3
8.0000000008,,,10,6.7407407407407405,115,3
8.090909091718181,,,10,6.7407407407407405,115,3
8.181818182636363,,,10,6.7407407407407405,115,3
8.272727273554546,,,10,6.7407407407407405,115,3
8.363636364472727,,,10,6.921052631578948,105,2
8.45454545539091,,,10,6.921052631578948,105,2
8.545454546309092,,,10,6.921052631578948,105,2
8.636363637227273,,,10,6.921052631578948,105,2
8.727272728145454,,,10,6.921052631578948,105,2
8.818181819063636,,,10,6.921052631578948,105,2
8.909090909981819,,,10,6.921052631578948,105,2
9.0000000009,,,10,6.9655172413793105,96,1
9.090909091818181,,,10,6.9655172413793105,96,1
9.181818182736365,,,10,6.9655172413793105,96,1
9.272727273654546,,,10,6.9655172413793105,96,1
9.363636364572727,,,10,6.9655172413793105,96,1
9.454545455490909,,,10,6.9655172413793105,96,1
9.545454546409092,,,10,6.9655172413793105,96,1
9.636363637327273,,,10,6.9655172413793105,96,1
9.727272728245454,,,10,6.9655172413793105,96,1
9.818181819163637,,,10,6.9655172413793105,96,1
9.909090910081819,,,10,6.9655172413793105,96,1
10.000000001,,,10,7.296296296296297,86,0
