,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
10,9,6,9,7,5,5,5,4
11,9,6,9,7,5,5,5,4
12,9,6,9,7,5,5,5,4
13,9,6,10,7,6,5,5,4
14,9,6,10,7,6,5,5,5
15,9,6,10,8,6,5,6,5
16,9,6,10,8,6,6,6,5
17,9,6,10,8,6,6,6,5
18,9,6,10,8,6,6,7,5
19,9,6,10,9,6,6,7,5
20,9,6,11,9,6,6,7,6
21,9,6,11,9,7,6,7,7
22,9,6,11,9,7,6,7,7
23,9,6,11,9,7,7,7,7
24,9,6,11,9,7,7,7,7
25,9,6,11,10,7,7,7,7
26,9,6,11,10,7,7,7,7
27,9,6,11,10,7,7,7,7
28,9,6,12,10,7,7,7,7
29,9,6,12,10,7,7,7,7
30,9,6,12,10,7,7,7,7
31,9,6,12,10,7,7,7,8
32,9,6,12,10,7,7,7,8
