,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Hybrid,Hybrid Obl.
6,5,5,5,3,3,3,5,4,5,4
7,5,5,6,3,4,4,5,4,5,4
8,5,5,6,4,4,4,6,4,6,4
9,5,5,6,4,5,5,6,5,6,5
10,5,5,7,5,5,5,6,5,6,5
11,5,5,8,6,5,5,7,5,6,5
12,5,5,8,6,5,5,7,6,6,5
13,5,5,8,6,6,5,7,6,6,6
14,5,5,8,6,6,5,7,7,6,6
15,5,5,8,6,6,5,7,7,7,7
16,5,5,8,7,6,6,7,8,7,7
17,5,5,8,7,6,6,7,8,7,7
18,5,5,8,7,6,6,7,8,7,8
19,5,5,8,7,6,6,7,8,7,8
20,5,5,8,7,6,6,7,8,7,8
21,5,5,9,7,7,6,7,8,7,8
22,5,5,9,7,7,6,7,8,7,8
23,5,5,9,7,7,7,8,8,7,8
24,5,5,9,7,7,7,8,8,7,8
