,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Unsupervised Forest,Centroid Forest
7,1,2,2,1,1,2,1
8,1,2,2,1,1,1,1
9,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1
11,1,1,1,1,1,3,1
12,2,1,1,1,1,1,1
13,2,1,1,1,1,1,1
14,2,1,1,1,1,1,1
15,2,1,1,1,1,2,1
16,2,1,1,1,1,2,1
17,1,1,1,1,1,1,1
18,1,1,1,2,1,1,2
19,1,1,1,2,1,1,3
20,1,1,1,2,1,1,1
21,1,1,1,2,1,2,4
22,1,1,1,2,1,1,2
23,1,1,1,2,1,2,3
24,1,1,1,2,1,1,1
25,1,1,1,2,1,1,1
26,1,1,1,1,1,1,2
27,1,1,1,1,1,1,1
28,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1
30,1,1,1,1,1,1,3
31,1,1,1,1,1,1,1
32,1,1,1,1,1,2,3
