,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost,max-rule-length,weighted-avg-length,objective-value,total-coverage-mistake-objective-value,coverage-cost-objective-value,total-coverage-cost-objective-value,per-cluster-coverage,per-rule-mistakes,total-coverage,per-rule-clustering-cost,normalized-clustering-cost
,KMeans,KMeans,KMeans,KMeans,KMeans,KMeans,KMeans,KMeans,KMeans,KMeans,KMeans,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,ExKMC,ExKMC,ExKMC,ExKMC,ExKMC,ExKMC,ExKMC,ExKMC,ExKMC,ExKMC,ExKMC,Shallow-Tree,Shallow-Tree,Shallow-Tree,Shallow-Tree,Shallow-Tree,Shallow-Tree,Shallow-Tree,Shallow-Tree,Shallow-Tree,Shallow-Tree,Shallow-Tree,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-TotalCoverageMistake,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-CoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost,DSCluster-TotalCoverageCost
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,,,,,,,,,,,3.2330779648060086,3,2.73546511627907,252.0,298.0,-4278.836892270154,-4232.836892270154,298,46,344,4576.836892270154,3.3855077383114107,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,5,3.645348837209302,274.0,309.0,-3985.470372798537,-3950.470372798537,309,35,344,4294.470372798537,3.303914889391315,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,187.0,205.0,-3735.3812434656093,-3717.3812434656093,228,41,246,3963.3812434656093,3.3858161443296217,2,2.0,190.0,219.0,-4536.754382926554,-4507.754382926554,248,58,277,4784.754382926554,3.439114387204581,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
7,,,,,,,,,,,3.2330779648060086,4,3.116279069767442,274.0,309.0,-4134.549799898865,-4099.549799898865,309,35,344,4443.549799898865,3.348441310759521,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,5,3.8459302325581395,282.0,313.0,-3909.378709076763,-3878.378709076763,313,31,344,4222.378709076763,3.286953395517938,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,197.0,213.0,-4380.8441759705565,-4364.8441759705565,239,42,255,4619.8441759705565,3.403367415260216,2,2.0,200.0,220.0,-5182.217315431501,-5162.217315431501,259,59,279,5441.217315431501,3.449451200624333,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
8,,,,,,,,,,,3.2330779648060086,5,3.436046511627907,294.0,319.0,-3984.4071698894113,-3959.4071698894113,319,25,344,4303.407169889411,3.3089380043278847,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,5,4.011627906976744,284.0,314.0,-3865.4780960356447,-3835.4780960356447,314,30,344,4179.478096035645,3.2751464036246927,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,197.0,224.0,-5029.9610284980245,-5002.9610284980245,255,58,282,5284.9610284980245,3.3689141189311744,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
9,,,,,,,,,,,3.2330779648060086,5,3.5755813953488373,300.0,322.0,-3967.0826842185797,-3945.0826842185797,322,22,344,4289.08268421858,3.3075803401521973,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,6,4.319767441860465,292.0,318.0,-3819.537385430436,-3793.537385430436,318,26,344,4137.537385430436,3.2653243694829213,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
10,,,,,,,,,,,3.2330779648060086,5,3.7063953488372094,306.0,325.0,-3902.290058059534,-3883.290058059534,325,19,344,4227.290058059534,3.2844340500792892,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,6,4.502906976744186,298.0,321.0,-3794.8385006748213,-3771.8385006748213,321,23,344,4115.838500674821,3.259457611485027,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
11,,,,,,,,,,,3.2330779648060086,5,3.7674418604651163,312.0,328.0,-3834.5097642573546,-3818.5097642573546,328,16,344,4162.509764257355,3.2739228103572624,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,6,4.625,300.0,322.0,-3775.064424684605,-3753.064424684605,322,22,344,4097.064424684605,3.2538789143186992,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
12,,,,,,,,,,,3.2330779648060086,5,3.88953488372093,316.0,330.0,-3801.2383635923397,-3787.2383635923397,330,14,344,4131.23836359234,3.2689546673769425,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,6,4.744186046511628,306.0,325.0,-3754.2267918366124,-3735.2267918366124,325,19,344,4079.2267918366124,3.251543622538645,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
13,,,,,,,,,,,3.2330779648060086,6,3.933139534883721,320.0,332.0,-3813.7269078316986,-3801.7269078316986,332,12,344,4145.726907831699,3.274336802611556,5,3.6143790849673203,268.0,306.0,-4153.615111063973,-4115.615111063973,306,38,344,4459.615111063973,3.3362509168355596,6,4.906976744186046,312.0,328.0,-3736.328971569314,-3720.328971569314,328,16,344,4064.328971569314,3.244600313190194,4,3.011627906976744,254.0,299.0,-4087.7971308431815,-4042.7971308431815,299,45,344,4386.797130843182,3.3140701729984294,2,2.0,198.0,213.0,-4672.342370875506,-4657.342370875506,240,42,255,4912.342370875506,3.403661812281004,2,2.0,198.0,224.0,-5321.459223402974,-5295.459223402974,256,58,282,5577.459223402974,3.3691803290031634,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
