,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage,max-rule-length,weighted-average-rule-length,normalized-clustering-cost,overlap,coverage
,KMeans,KMeans,KMeans,KMeans,KMeans,IMM,IMM,IMM,IMM,IMM,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers
,KMeans,KMeans,KMeans,KMeans,KMeans,IMM,IMM,IMM,IMM,IMM,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,Forest-Depth-2,KMeans,KMeans,KMeans,KMeans,KMeans,IMM,IMM,IMM,IMM,IMM,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,Forest-Depth-4,KMeans,KMeans,KMeans,KMeans,KMeans,IMM,IMM,IMM,IMM,IMM,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,Forest-Depth-6,KMeans,KMeans,KMeans,KMeans,KMeans,IMM,IMM,IMM,IMM,IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,Forest-Depth-IMM,KMeans,KMeans,KMeans,KMeans,KMeans,IMM,IMM,IMM,IMM,IMM,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,IMM-outliers,KMeans,KMeans,KMeans,KMeans,KMeans,IMM,IMM,IMM,IMM,IMM
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,,,5.046302063640577,1.0,1.0,4,3.2718839282640872,5.529639781727196,1.0,1.0,2,2.0,6.619860887933492,1.200231891526297,0.5343878007641734,,,5.584069338473035,1.0,0.5343878007641734,4,3.2718839282640872,6.136934905653604,1.0,0.5343878007641734,4,4.0,4.779775122468183,1.0203780271707028,0.7575987057244157,,,4.621075790620385,1.0,0.7575987057244157,4,3.2718839282640872,5.0087794898955575,1.0,0.7575987057244157,6,6.0,4.12036525362925,1.0032224559908387,0.646260025472445,,,4.0899881405986545,1.0,0.646260025472445,4,3.2718839282640872,4.41964767630723,1.0,0.646260025472445,4,4.0,4.752917621944113,1.019968820211839,0.7507142611269836,,,4.598526849378843,1.0,0.7507142611269836,4,3.2718839282640872,4.99854758945844,1.0,0.7507142611269836,4,3.243468383188186,3.791701010846977,1.0,0.5,,,3.385721502018516,1.0,0.5,4,3.2718839282640872,3.797596990162151,1.0,0.5
1,,,5.046302063640577,1.0,1.0,4,3.2718839282640872,5.529639781727196,1.0,1.0,2,2.0,6.115928411612006,1.2720795779720075,0.8841520085367113,,,4.942254117885359,1.0,0.8841520085367113,4,3.2718839282640872,5.39911921126492,1.0,0.8841520085367113,4,4.0,4.779775122468183,1.0203780271707028,0.7575987057244157,,,4.621075790620385,1.0,0.7575987057244157,4,3.2718839282640872,5.0087794898955575,1.0,0.7575987057244157,6,6.0,4.12036525362925,1.0032224559908387,0.646260025472445,,,4.0899881405986545,1.0,0.646260025472445,4,3.2718839282640872,4.41964767630723,1.0,0.646260025472445,4,4.0,4.752917621944113,1.019968820211839,0.7507142611269836,,,4.598526849378843,1.0,0.7507142611269836,4,3.2718839282640872,4.99854758945844,1.0,0.7507142611269836,4,3.239268871983753,4.05821922686941,1.0,0.5500154900003442,,,3.5892314649642194,1.0,0.5500154900003442,4,3.2718839282640872,4.055360781253627,1.0,0.5500154900003442
2,,,5.046302063640577,1.0,1.0,4,3.2718839282640872,5.529639781727196,1.0,1.0,2,2.0,6.115928411612006,1.2720795779720075,0.8841520085367113,,,4.942254117885359,1.0,0.8841520085367113,4,3.2718839282640872,5.39911921126492,1.0,0.8841520085367113,4,4.0,4.779775122468183,1.0203780271707028,0.7575987057244157,,,4.621075790620385,1.0,0.7575987057244157,4,3.2718839282640872,5.0087794898955575,1.0,0.7575987057244157,6,6.0,4.12036525362925,1.0032224559908387,0.646260025472445,,,4.0899881405986545,1.0,0.646260025472445,4,3.2718839282640872,4.41964767630723,1.0,0.646260025472445,4,4.0,4.752917621944113,1.019968820211839,0.7507142611269836,,,4.598526849378843,1.0,0.7507142611269836,4,3.2718839282640872,4.99854758945844,1.0,0.7507142611269836,4,3.2354307941206844,4.29854773933467,1.0,0.6000137688891949,,,3.776553437883595,1.0,0.6000137688891949,4,3.2718839282640872,4.288275326727259,1.0,0.6000137688891949
3,,,5.046302063640577,1.0,1.0,4,3.2718839282640872,5.529639781727196,1.0,1.0,2,2.0,6.115928411612006,1.2720795779720075,0.8841520085367113,,,4.942254117885359,1.0,0.8841520085367113,4,3.2718839282640872,5.39911921126492,1.0,0.8841520085367113,4,4.0,4.779775122468183,1.0203780271707028,0.7575987057244157,,,4.621075790620385,1.0,0.7575987057244157,4,3.2718839282640872,5.0087794898955575,1.0,0.7575987057244157,6,5.854865310610226,4.20382676164066,1.0036784991723378,0.655037692334171,,,4.167068515100465,1.0,0.655037692334171,4,3.2718839282640872,4.479536127870788,1.0,0.655037692334171,4,4.0,4.752917621944113,1.019968820211839,0.7507142611269836,,,4.598526849378843,1.0,0.7507142611269836,4,3.2718839282640872,4.99854758945844,1.0,0.7507142611269836,4,3.2466352277030053,4.533092576393258,1.0,0.6500120477780456,,,3.970282707154965,1.0,0.6500120477780456,4,3.2718839282640872,4.520138126154713,1.0,0.6500120477780456
4,,,5.046302063640577,1.0,1.0,4,3.2718839282640872,5.529639781727196,1.0,1.0,2,2.0,6.115928411612006,1.2720795779720075,0.8841520085367113,,,4.942254117885359,1.0,0.8841520085367113,4,3.2718839282640872,5.39911921126492,1.0,0.8841520085367113,4,4.0,4.779775122468183,1.0203780271707028,0.7575987057244157,,,4.621075790620385,1.0,0.7575987057244157,4,3.2718839282640872,5.0087794898955575,1.0,0.7575987057244157,6,5.32291496081413,4.545122525713608,1.0113569147048385,0.7274276272761695,,,4.442098773844339,1.0,0.7274276272761695,4,3.2718839282640872,4.785071185525914,1.0,0.7274276272761695,4,4.0,4.752917621944113,1.019968820211839,0.7507142611269836,,,4.598526849378843,1.0,0.7507142611269836,4,3.2718839282640872,4.99854758945844,1.0,0.7507142611269836,4,3.2514887611441945,4.749541983604747,1.0,0.7000103266668961,,,4.16407365692366,1.0,0.7000103266668961,4,3.2718839282640872,4.737196159173239,1.0,0.7000103266668961
5,,,5.046302063640577,1.0,1.0,4,3.2718839282640872,5.529639781727196,1.0,1.0,2,2.0,6.115928411612006,1.2720795779720075,0.8841520085367113,,,4.942254117885359,1.0,0.8841520085367113,4,3.2718839282640872,5.39911921126492,1.0,0.8841520085367113,4,4.0,4.779775122468183,1.0203780271707028,0.7575987057244157,,,4.621075790620385,1.0,0.7575987057244157,4,3.2718839282640872,5.0087794898955575,1.0,0.7575987057244157,6,5.252171116114506,4.7392061634571885,1.0288569726652987,0.7801280506695122,,,4.60935705877445,1.0,0.7801280506695122,4,3.2718839282640872,5.024822558956136,1.0,0.7801280506695122,4,4.0,4.752917621944113,1.019968820211839,0.7507142611269836,,,4.598526849378843,1.0,0.7507142611269836,4,3.2718839282640872,4.99854758945844,1.0,0.7507142611269836,4,3.2656362947919177,4.918606244674928,1.0,0.7500086055557468,,,4.335482224053742,1.0,0.7500086055557468,4,3.2718839282640872,4.909709404656212,1.0,0.7500086055557468
6,,,5.046302063640577,1.0,1.0,4,3.2718839282640872,5.529639781727196,1.0,1.0,2,2.0,6.115928411612006,1.2720795779720075,0.8841520085367113,,,4.942254117885359,1.0,0.8841520085367113,4,3.2718839282640872,5.39911921126492,1.0,0.8841520085367113,4,4.0,4.993846069501288,1.0225562306790321,0.8072871846063818,,,4.809731320089374,1.0,0.8072871846063818,4,3.2718839282640872,5.262705296553858,1.0,0.8072871846063818,6,4.7928217921377705,4.884256490444894,1.0547692307692307,0.8110736291349695,,,4.704570971776689,1.0,0.8110736291349695,4,3.2718839282640872,5.124709523498394,1.0,0.8110736291349695,4,4.0,4.98405986250342,1.029838295687885,0.8046538845478641,,,4.795602970819794,1.0,0.8046538845478641,4,3.2718839282640872,5.220213643932063,1.0,0.8046538845478641,4,3.2656362947919177,5.076828202968731,1.0,0.8000068844445974,,,4.492989518566665,1.0,0.8000068844445974,4,3.2718839282640872,5.063650185391541,1.0,0.8000068844445974
