,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
10,8,6,8,5,4,4,5,4
11,8,6,9,5,4,4,5,5
12,8,6,9,5,5,5,6,5
13,8,6,9,6,5,5,6,5
14,8,6,9,6,5,5,7,5
15,8,6,9,6,5,5,7,5
16,8,6,9,6,5,5,7,6
17,8,6,10,6,5,6,7,7
18,8,6,10,6,5,6,7,8
19,8,6,10,6,6,6,7,8
20,8,6,10,6,6,6,7,8
21,8,6,10,6,6,6,7,8
22,8,6,10,6,6,6,7,8
23,8,6,11,6,6,6,7,8
24,8,6,11,7,6,6,7,8
25,8,6,11,7,6,6,7,8
26,8,6,11,7,6,6,7,8
27,8,6,11,7,6,6,7,9
28,8,6,11,7,6,7,7,10
29,8,6,11,7,6,7,7,11
30,8,6,11,7,6,7,7,11
31,8,6,11,7,6,7,7,11
32,8,6,11,7,6,7,7,11
