,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
3,2,2,2,2,2,2,2,2
4,2,2,3,3,3,3,3,3
5,2,2,3,3,3,3,4,3
6,2,2,4,4,3,3,4,4
7,2,2,5,5,4,4,4,4
8,2,2,6,6,4,4,4,5
9,2,2,6,6,4,4,4,5
10,2,2,6,6,4,4,4,5
11,2,2,6,6,4,4,5,6
12,2,2,6,6,4,5,5,6
13,2,2,6,6,5,5,5,6
14,2,2,6,6,5,5,5,6
15,2,2,6,6,5,5,5,6
16,2,2,6,6,5,5,5,6
17,2,2,6,6,5,5,5,6
18,2,2,6,6,5,5,5,6
19,2,2,6,6,6,6,5,6
20,2,2,6,6,6,6,6,6
21,2,2,6,6,6,6,6,6
22,2,2,6,6,7,6,6,6
23,2,2,6,6,7,6,6,6
24,2,2,6,6,7,6,6,6
25,2,2,6,6,7,6,6,7
26,2,2,6,6,7,6,6,7
27,2,2,6,6,7,6,6,7
28,2,2,6,6,7,6,6,7
29,2,2,6,6,7,7,7,7
30,2,2,6,6,7,7,8,7
31,2,2,6,6,7,7,8,7
32,2,2,6,6,7,7,9,7
