,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
8,7,3,7,4,4,4,4,4
9,7,3,7,4,4,4,4,4
10,7,3,7,5,4,4,4,4
11,7,3,7,5,4,4,5,5
12,7,3,7,5,5,4,5,5
13,7,3,7,5,5,5,5,5
14,7,3,8,5,5,5,5,5
15,7,3,8,5,5,5,6,5
16,7,3,8,5,5,5,6,5
17,7,3,8,5,5,5,6,6
18,7,3,8,6,6,5,6,6
19,7,3,9,6,6,5,6,6
20,7,3,9,7,6,5,6,6
21,7,3,9,7,6,5,6,7
22,7,3,9,7,6,5,6,7
23,7,3,9,7,6,6,7,7
24,7,3,9,7,6,6,7,7
25,7,3,9,7,6,6,7,7
26,7,3,10,7,6,6,7,7
27,7,3,10,7,7,6,7,7
28,7,3,10,7,7,6,7,7
29,7,3,10,7,7,6,7,8
30,7,3,10,7,7,6,8,8
31,7,3,10,7,7,6,8,8
32,7,3,11,7,7,7,8,8
