,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance,max-rule-length,weighted-avg-length,coverage-mistake-score,silhouette-score,clustering-distance
,DBSCAN,DBSCAN,DBSCAN,DBSCAN,DBSCAN,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Decision-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,Exp-Tree,CBA,CBA,CBA,CBA,CBA,DSCluster-Assoc,DSCluster-Assoc,DSCluster-Assoc,DSCluster-Assoc,DSCluster-Assoc,DSCluster_0,DSCluster_0,DSCluster_0,DSCluster_0,DSCluster_0,DSCluster_1,DSCluster_1,DSCluster_1,DSCluster_1,DSCluster_1,DSCluster_2,DSCluster_2,DSCluster_2,DSCluster_2,DSCluster_2,DSCluster_3,DSCluster_3,DSCluster_3,DSCluster_3,DSCluster_3,DSCluster_4,DSCluster_4,DSCluster_4,DSCluster_4,DSCluster_4,DSCluster_5,DSCluster_5,DSCluster_5,DSCluster_5,DSCluster_5,DSCluster_6,DSCluster_6,DSCluster_6,DSCluster_6,DSCluster_6,DSCluster_7,DSCluster_7,DSCluster_7,DSCluster_7,DSCluster_7,DSCluster_8,DSCluster_8,DSCluster_8,DSCluster_8,DSCluster_8,DSCluster_9,DSCluster_9,DSCluster_9,DSCluster_9,DSCluster_9
,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,,,1312,0.3856078947451086,0.0,3,2.073932926829268,-1623.0,0.017895342980441306,0.4627658090082045,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.393530997304582,366.0,0.5275272525267567,0.2814831351974847,4,3.448529411764706,403.0,0.5594540235663578,0.28593072687019777,4,3.4444444444444446,405.0,0.5637347686755273,0.28613072314933674,4,3.4430693069306932,404.0,0.5700340546476139,0.28593421517739204,4,3.4525547445255476,411.0,0.5623560281490976,0.2850121393090361,4,3.4458128078817736,406.0,0.5576262441040861,0.2856632899853026,4,3.433249370277078,397.0,0.5750195380476604,0.2870981470112184,4,3.4430693069306932,404.0,0.5663085248465185,0.28624583728674813,4,3.4705882352941178,420.0,0.5494894285056368,0.2830633383564957,4,3.451219512195122,410.0,0.5604841489047157,0.2851191140629942,4,3.447174447174447,407.0,0.562622059021571,0.28533422633997507
5,,,1312,0.3856078947451086,0.0,3,2.8216463414634148,-1623.0,0.017895342980441306,0.4627658090082045,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.4815668202764978,429.0,0.5330721146786077,0.27921224721400534,4,3.125531914893617,465.0,0.5011586885529401,0.2742158285427248,4,3.119914346895075,467.0,0.5046833756146456,0.2749204665959703,4,3.1180257510729614,466.0,0.5086693685491915,0.27414722516790385,4,3.13107822410148,473.0,0.5045643473683721,0.27322514929954794,4,3.121794871794872,468.0,0.4986376780034246,0.2740925750218601,4,3.07741935483871,460.0,0.5053118188186692,0.27531929638518354,4,3.1180257510729614,466.0,0.5062253420287162,0.27453093895927516,4,3.1560574948665296,482.0,0.4959475457506405,0.2702670647987944,4,3.102510460251046,473.0,0.49677876689347944,0.2722658648211196,4,3.096842105263158,470.0,0.49916065397333925,0.2725577198563748
6,,,1312,0.3856078947451086,0.0,4,3.444359756097561,-918.0,0.11673700812440907,0.3381564994139644,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.1713709677419355,491.0,0.48575615696229535,0.26425322319584754,4,3.2111324376199617,521.0,0.5176917754688222,0.2595521478670164,4,3.22011385199241,527.0,0.5167743031122627,0.25946726572528883,4,3.217142857142857,525.0,0.5200534294415697,0.2590544827072985,4,3.2274436090225564,532.0,0.5013682256082427,0.2578579933396588,4,3.22011385199241,527.0,0.5111570227270634,0.2588626258116128,4,3.2096153846153848,520.0,0.5218905663891233,0.2604300385109114,4,3.22011385199241,527.0,0.5180477606251717,0.25899750702312513,4,3.2472527472527473,541.0,0.5081100311310309,0.25510571896336814,4,3.230337078651685,534.0,0.5139173338494405,0.2571475414410895,4,3.221590909090909,528.0,0.5157597763196469,0.2582451954382244
7,,,1312,0.3856078947451086,0.0,5,3.8803353658536586,-463.0,0.14825205061184052,0.2713182080333389,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.263440860215054,553.0,0.4709945136728495,0.2575126509274246,4,3.2889273356401385,578.0,0.5133731961745405,0.24483846812152332,4,3.2938144329896906,582.0,0.5123111545792357,0.24578147383304497,4,3.2938144329896906,582.0,0.5150000928702917,0.24427452512511394,4,3.3033898305084746,590.0,0.5120603808658459,0.2429198991646667,4,3.295025728987993,583.0,0.5071850939240322,0.2445698684675634,4,3.2889273356401385,578.0,0.5160203519505369,0.24616635039348106,4,3.299829642248722,587.0,0.5132656737417465,0.2434047738646723,4,3.3127090301003346,593.0,0.5054346271550587,0.24092691298766536,4,3.3057432432432434,592.0,0.5094666067966684,0.24193968484307268,4,3.2913793103448277,580.0,0.5116369202312975,0.24485242135030047
8,,,1312,0.3856078947451086,0.0,6,4.229420731707317,-243.0,0.1763848634086991,0.2340212275120463,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.327332242225859,606.0,0.47770767209547826,0.24407801715316924,4,3.3476190476190477,625.0,0.5110731588672078,0.22986432810552362,4,3.3486529318541995,628.0,0.5098077996124722,0.23163406262209074,4,3.3598130841121496,638.0,0.5111194473698568,0.2260748637234656,4,3.363777089783282,639.0,0.5096720734568766,0.22708065896448437,4,3.3557993730407523,637.0,0.5108674516187454,0.23769441498762814,4,3.3455414012738856,628.0,0.5118903132734419,0.230730591058771,4,3.361801242236025,639.0,0.5102514921462874,0.2265050882774274,4,3.3676923076923075,641.0,0.5085561081864265,0.23492702461349557,4,3.364760432766615,643.0,0.5066624821317599,0.22533534259827726,4,3.3537735849056602,630.0,0.508900373625876,0.22900969284292386
9,,,1312,0.3856078947451086,0.0,7,4.541920731707317,-243.0,0.1763848634086991,0.2340212275120463,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.170992366412214,650.0,0.44477169257982563,0.23658280776171606,4,3.3920118343195265,671.0,0.5088414105107755,0.21528901787873714,4,3.3920118343195265,673.0,0.5079368146507957,0.2172971200535804,4,3.4052098408104197,687.0,0.5088404540763701,0.21046352625997655,4,3.4103299856527975,685.0,0.5054659815383383,0.21141350858588678,4,3.4077809798270895,690.0,0.5081888385324407,0.2208086826291604,4,3.3929098966026587,677.0,0.509585463374218,0.214948326542762,4,3.2107558139534884,683.0,0.4716143710246123,0.22115867611765364,4,3.4094827586206895,686.0,0.5069094532179615,0.22029822700973006,4,3.406926406926407,689.0,0.5051528576954408,0.21054608286357462,4,3.4026162790697674,676.0,0.5051401558692876,0.21293557329165969
10,,,1312,0.3856078947451086,0.0,7,4.728658536585366,-193.0,0.19158961619654763,0.22405164555078044,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.223175965665236,694.0,0.44624762015721375,0.22325514874141877,4,3.245833333333333,715.0,0.4718928984486404,0.21024957675206044,4,3.245833333333333,717.0,0.4710149382433384,0.21169489869955907,4,3.379918588873813,733.0,0.4736088149148812,0.20498107011962569,4,3.2672064777327936,729.0,0.46953695945694957,0.205964772748414,4,3.445344129554656,737.0,0.505935084727189,0.2057798924671169,4,3.246879334257975,721.0,0.47292178443182126,0.2095507525441387,4,3.2642276422764227,727.0,0.4704658840284636,0.20589500660452828,4,3.266216216216216,730.0,0.471097441764276,0.2124448847463303,4,3.4460916442048517,734.0,0.5077325318307597,0.20505199903257615,4,3.2581967213114753,720.0,0.4692764691348334,0.20774264664843445
11,,,1312,0.3856078947451086,0.0,7,4.833079268292683,-48.0,0.20932124214024778,0.20688801138583468,3,2.8438948995363216,-1998.0,0.022991158569453315,0.4660890029952931,,,,,,4,3.2672064777327936,736.0,0.43283180968926777,0.2102891109002623,4,3.2892670157068062,759.0,0.45922210064651636,0.19390336923964205,4,3.2892670157068062,761.0,0.4585544559875667,0.1958603095756358,4,3.414102564102564,776.0,0.46626740043585335,0.1976312068612677,4,3.3065134099616857,771.0,0.4579529019094341,0.19016622946549833,4,3.4198473282442747,782.0,0.4733201920937738,0.19746027980874775,4,3.288335517693316,763.0,0.4608463171669004,0.1943382448698629,4,3.25,769.0,0.4587631980779434,0.18994995441945267,4,3.3047375160051216,771.0,0.46458419979237786,0.2031008725419062,4,3.3091603053435112,778.0,0.4738854401296179,0.19740330412457444,4,3.23728813559322,761.0,0.46683853881573223,0.2024229781771502
