,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.
3,2,2,2,2,2,2,2,2
4,2,2,3,3,2,2,2,2
5,2,2,3,3,3,3,3,3
6,2,2,3,4,3,4,3,3
7,2,2,4,4,4,4,3,3
8,2,2,4,4,4,4,4,4
9,2,2,4,5,4,4,4,4
10,2,2,5,5,4,4,4,4
11,2,2,6,5,5,4,5,5
12,2,2,7,5,5,4,5,5
13,2,2,8,5,5,4,5,5
14,2,2,9,5,5,4,5,5
15,2,2,9,5,5,5,6,6
16,2,2,9,5,5,5,7,6
17,2,2,9,5,5,5,7,6
18,2,2,9,5,5,6,7,6
19,2,2,9,5,6,6,7,6
20,2,2,9,5,6,6,7,6
21,2,2,9,5,6,6,7,6
22,2,2,9,5,6,6,7,6
23,2,2,9,5,6,6,7,6
24,2,2,9,5,7,6,7,6
25,2,2,9,5,7,6,7,6
26,2,2,9,5,7,6,8,6
27,2,2,9,5,7,6,8,6
28,2,2,9,5,7,6,8,6
29,2,2,9,5,7,6,8,6
30,2,2,9,5,7,6,9,6
31,2,2,9,5,7,6,9,6
32,2,2,9,5,7,6,9,6
